target.gene,LEV-11_wt,LZD-2_wt,RIF-1_wt,BDQ-14_wt,BDQ-2_wt,shared_more_vul,gene_name,aa-tRNA synthetase Class
RVBD_0041,2,NA,NA,2,2,3,leuS,I
RVBD_1007c,2,2,NA,NA,2,3,metS,I
RVBD_1536,NA,NA,2,NA,NA,1,ileS,I
RVBD_1649,3,2,NA,NA,3,3,pheS,II
RVBD_1650,NA,NA,NA,NA,2,1,pheT,II
RVBD_2357c,2,2,NA,NA,3,3,glyS,II
RVBD_2448c,NA,NA,NA,2,2,2,valS,I
RVBD_2555c,2,NA,NA,2,NA,2,alaS,II
RVBD_2572c,4,2,2,4,3,5,aspS,II
RVBD_2580c,NA,NA,4,2,3,3,hisS,II
RVBD_2614c,3,2,NA,NA,NA,2,thrS,II
RVBD_2845c,2,2,NA,NA,NA,2,proS,II
RVBD_2992c,NA,NA,NA,2,2,2,gltS,I
RVBD_3009c,2,NA,3,2,2,4,gatB,NA
RVBD_3011c,3,NA,NA,2,NA,2,gatA,NA
RVBD_3336c,2,NA,NA,2,NA,2,trpS,I
RVBD_3580c,2,NA,NA,2,2,3,cysS1,I
RVBD_3598c,NA,2,2,3,4,4,lysS,II
RVBD_3834c,NA,NA,2,2,NA,2,serS,II
RVBD_6003,NA,NA,2,2,2,3,tRNA-Gly,NA
RVBD_6009,2,2,2,NA,NA,3,tRNA-Lys,NA
RVBD_6012,NA,NA,2,NA,NA,1,tRNA-Phe,NA
RVBD_6017,NA,NA,2,NA,NA,1,tRNA-Arg,NA
RVBD_6024,NA,NA,NA,2,NA,1,tRNA-Leu,NA
RVBD_6027,2,NA,2,NA,NA,2,tRNA-Asn,NA
RVBD_6038,NA,NA,NA,NA,3,1,tRNA-Gln,NA
RVBD_6041,NA,NA,NA,2,NA,1,tRNA-Thr,NA
RVBD_6043,2,3,NA,NA,NA,2,tRNA-Ser,NA
RVBD_6046,NA,2,NA,NA,NA,1,tRNA-Ser,NA
